Time,Site 1,Site 2,Site 3,Site 4
2024-06-01T00:00:00Z,48,10,13,229
2024-06-01T01:00:00Z,23,8,10,77
2024-06-01T02:00:00Z,8,7,9,16
2024-06-01T03:00:00Z,1,1,7,19
2024-06-01T04:00:00Z,15,1,12,48
2024-06-01T05:00:00Z,23,10,29,50
2024-06-01T06:00:00Z,84,30,83,118
2024-06-01T07:00:00Z,122,41,238,203
2024-06-01T08:00:00Z,282,87,407,370
2024-06-01T09:00:00Z,348,156,627,703
2024-06-01T10:00:00Z,493,130,743,1174
2024-06-01T11:00:00Z,616,169,1009,1204
2024-06-01T12:00:00Z,519,171,736,1171
2024-06-01T13:00:00Z,481,115,595,1047
2024-06-01T14:00:00Z,500,114,641,1052
2024-06-01T15:00:00Z,469,100,564,1150
2024-06-01T16:00:00Z,403,174,516,1079
2024-06-01T17:00:00Z,428,147,393,1089
2024-06-01T18:00:00Z,298,106,336,1084
2024-06-01T19:00:00Z,321,175,226,1264
2024-06-01T20:00:00Z,315,148,134,1149
2024-06-01T21:00:00Z,227,77,79,991
2024-06-01T22:00:00Z,74,34,36,699
2024-06-01T23:00:00Z,45,8,21,451
2024-06-02T00:00:00Z,56,2,13,220
2024-06-02T01:00:00Z,11,2,7,48
2024-06-02T02:00:00Z,0,3,9,49
2024-06-02T03:00:00Z,5,0,7,23
2024-06-02T04:00:00Z,21,1,6,26
2024-06-02T05:00:00Z,73,10,24,65
2024-06-02T06:00:00Z,66,29,73,95
2024-06-02T07:00:00Z,188,66,209,238
2024-06-02T08:00:00Z,262,85,392,396
2024-06-02T09:00:00Z,426,121,596,647
2024-06-02T10:00:00Z,489,159,789,945
2024-06-02T11:00:00Z,544,136,858,969
2024-06-02T12:00:00Z,477,159,759,1179
2024-06-02T13:00:00Z,496,176,653,1069
2024-06-02T14:00:00Z,452,167,654,1139
2024-06-02T15:00:00Z,473,177,631,1046
2024-06-02T16:00:00Z,411,145,575,964
2024-06-02T17:00:00Z,366,98,457,980
2024-06-02T18:00:00Z,342,169,369,912
2024-06-02T19:00:00Z,270,150,320,1061
2024-06-02T20:00:00Z,202,147,216,1039
2024-06-02T21:00:00Z,90,102,90,818
2024-06-02T22:00:00Z,32,14,33,324
2024-06-02T23:00:00Z,20,13,16,201
2024-06-03T00:00:00Z,7,3,7,59
2024-06-03T01:00:00Z,5,0,6,27
2024-06-03T02:00:00Z,3,0,4,33
2024-06-03T03:00:00Z,3,0,3,18
2024-06-03T04:00:00Z,9,1,4,7
2024-06-03T05:00:00Z,39,5,17,39
2024-06-03T06:00:00Z,88,40,86,164
